Date,tasso_affollamento_reale
2024-10-05,132.1883
2024-10-06,132.2567
2024-10-07,132.2768
2024-10-09,132.3103
2024-10-10,132.2619
2024-10-11,132.2683
2024-10-12,132.346
2024-10-13,132.3995
2024-10-14,132.2753
2024-10-17,132.6983
2024-10-18,132.6095
2024-10-19,132.6745
2024-10-20,132.7516
2024-10-25,132.7472
2024-10-26,132.8928
2024-10-27,132.9978
2024-10-28,133.022
2024-10-29,132.8465
2024-11-02,132.984
2024-11-03,133.0674
2024-11-04,132.9379
2024-11-05,133.0562
2024-11-06,133.0717
2024-11-07,133.2142
2024-11-08,133.1087
2024-11-11,133.2042
2024-11-12,133.3019
2024-11-30,133.7805
2024-12-01,133.8598
2024-12-02,133.7019
2024-12-03,133.6939
2024-12-04,133.7098
2024-12-05,133.6862
2024-12-06,133.5162
2024-12-07,133.5812
2024-12-08,133.6348
2024-12-09,133.4054
2024-12-16,132.6412
2024-12-19,132.3069
2024-12-20,132.0981
2024-12-21,132.0163
2024-12-22,132.0973
2024-12-23,131.8946
2024-12-24,131.8607
2024-12-25,131.9097
2024-12-26,131.9247
2024-12-27,132.028
2024-12-28,132.0758
2024-12-29,132.1121
2024-12-30,132.0998
2024-12-31,132.1053
2025-01-01,132.1331
2025-01-02,132.1562
2025-01-03,131.7197
2025-01-04,132.1907
2025-01-05,132.2184
2025-01-06,132.3039
2025-01-07,132.2084
2025-01-08,132.0689
2025-01-09,132.0459
2025-01-10,132.0309
2025-01-11,132.0857
2025-01-12,132.105
2025-01-13,132.0971
2025-01-14,132.1352
2025-01-15,132.1593
2025-01-16,131.8443
2025-01-17,131.9465
2025-01-18,132.0512
2025-01-19,132.1098
2025-01-20,132.0491
2025-01-22,132.0783
2025-01-23,131.998
2025-01-24,132.0528
2025-01-25,132.1403
2025-01-26,132.2279
2025-01-27,132.1106
2025-01-28,132.0793
2025-01-29,132.2159
2025-01-30,131.4523
2025-01-31,132.1374
2025-02-01,132.2869
2025-02-02,132.336
2025-02-04,131.9641
2025-02-05,132.1406
2025-02-06,132.1601
2025-02-07,132.1284
2025-02-08,132.2159
2025-02-09,132.2842
2025-02-10,132.2339
2025-02-20,132.4649
2025-02-21,132.3797
2025-02-22,132.4608
2025-02-23,132.5571
2025-02-24,132.6831
2025-02-25,132.7016
2025-02-26,132.7731
2025-02-27,132.7354
2025-02-28,132.7206
2025-03-01,132.7932
2025-03-02,132.8615
2025-03-03,132.8223
2025-03-04,132.4575
2025-03-05,132.8046
2025-03-06,132.4852
2025-03-07,132.4127
2025-03-08,132.51
2025-03-09,132.5506
2025-03-10,132.4219
2025-03-11,132.5597
2025-03-12,132.5185
2025-03-13,132.5437
2025-03-14,132.5163
2025-03-15,132.6195
2025-03-16,132.6622
2025-03-17,132.7636
2025-03-18,132.748
2025-03-19,132.6883
2025-03-20,132.63
2025-03-21,132.6332
2025-03-22,132.7441
2025-03-23,133.5145
2025-03-24,132.7718
2025-03-25,132.6005
2025-03-26,132.9398
2025-03-27,132.8164
